code,description,notes
911H,911 HANG UP,911 hang-ups
911OPN,911 OPEN LINE,911 open line
ABDOM,"ABDOMINAL PAIN OR PROBLEMS","Abdominal pain or problems"
ABDUCTF,ABDUCTION FAMILY,"Abduction/kidnapping by family member"
ABDUCTNF,ABDUCTION NON-FAMILY,"Abduction/kidnapping by non-family member"
ABUSE,ABUSE,"Child or Elder"
ACCIND,INDUSTRIAL ACCIDENT,"Includes entrapment in major machinery, industrial disasters"
ACTSHOOT,ACTIVE SHOOTER,Active assailant
ADMIN,ADMINISTRATIVE,"Includes follow-ups, DNA collection, citizen complaints, law escorts, request extra patrol"
AIR,"AIRCRAFT RELATED INCIDENTS INCLUDING REPORTED HIJACKING","Aircraft related incidents including reported hijacking"
AIRINC,"AIRPORT INCIDENT (NOT AIRCRAFT)","Incident at Airport - not aircraft related"
ALIEN,IMMIGRATION,"Immigration violation, illegal aliens"
ALLERGIC,"ALLERGIC REACTION, INSECT STINGS","Allergic reaction, insect stings"
ALMA,ALARM AUDIBLE,
ALMB,COMMERCIAL ALARM,
ALMH,"PANIC/DURESS/HOLD UP ALARM",
ALMR,RESIDENTIAL ALARM,
ALRBA,BURGLAR ALARM- AUDIBLE,Includes audible Intrusion alarms
ALRBOX,BOX ALARM,"Pull box alarm for police, fire or EMS"
ALRBS,BURGLAR ALARM - SILENT,Includes silent intrusion alarms
ALRCO,CARBON MONOXIDE,Carbon Monoxide
ALRCO2,FIRE ALARM - CO2,Carbon Dioxide
ALRDEFIB,"AUTOMATED IMPLANTABLE CARDIAC DEFIBRILLATOR (AICD) ALARM OR EVENT",Automated Implantable Cardiac Defibrillator (AICD) alarm or event
ALRF,GENERIC FIRE ALARM,Generic fire alarm
ALRGAS,FIRE ALARM - GAS,
ALRHEAT,FIRE ALARM - HEAT,
ALRKPAD,FIRE ALARM - KEYPAD,
ALRMED,MEDICAL ALARM,
ALRNGAS,FIRE ALARM - NAT GAS,Natural Gas
ALRPANA,PANIC ALARM AUDIBLE,Includes audible duress alarm
ALRPANS,PANIC ALARM SILENT,Includes silent duress alarm
ALRPROPN,FIRE ALARM - PROPANE,
ALRPULL,FIRE ALARM - PULL STATION,
ALRROBA,ROBBERY ALARM AUDIBLE,Includes hold up alarms
ALRROBS,ROBBERY ALARM SILENT,Includes hold up alarms
ALRU,ALARM UNK,Audible alarm unknown type
ALRVEH,VEHICLE ALARM,
ALRWTR,FIRE ALARM - WATER FLOW,includes sprinkler alarms
ALS,"ADVANCED LIFE SUPPORT INCIDENT",Advanced Life Support incident
ANIMAL,ANIMAL,"Animal complaints including animal rescue,"
ASSAULT,WITH OR WITHOUT INJURY,With or without injury
ASSIST,"ASSIST TO OTHER AGENCY OR REQUEST FOR MANPOWER","Assist to other agency or request for manpower"
ATL,ATL,"Attempt to Locate, BOLO"
BACK,NON-TRAUMATIC,Non-traumatic
